Domínio,Reino,Filo,Classe,Ordem,Família,Gênero,Espécie
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Phoenix,Phoenix dactylifera
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus,Phoenix dactylifera
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus officinalis
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Asparagaceae,Asparagus,Asparagus officinalis
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Asparagus,Asparagus officinalis
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,Asparagus officinalis
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea cayenensis
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Dioscoreaceae,Dioscorea,Dioscorea cayenensis
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Dioscorea,Dioscorea cayenensis
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Papaver,Dioscorea cayenensis
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Papaver,Papaver somniferum
